State,City,percent_completed_hs,poverty_rate,Median Income
CA,Caruthers CDP,51.1,31.3,43594
CA,Casa Conejo CDP,91.2,10,91159
CA,Casa de Oro-Mount Helix CDP,92.1,12,80196
CA,Casmalia CDP,53.3,0,67679
CA,Caspar CDP,97.2,9,56103
CA,Cassel CDP,100,23.5,(X)
CA,Castaic CDP,91.9,6.8,104427
CA,Castle Hill CDP,98.3,1.9,114784
CA,Castro Valley CDP,92.2,7.4,85596
CA,Castroville CDP,46.4,25.2,49654
CA,Cathedral City city,75.3,23.1,39872
CA,Catheys Valley CDP,89.8,16.9,59219
CA,Cayucos CDP,93.5,9.6,58175
CA,Cazadero CDP,95.5,11.8,41667
CA,Cedar Ridge CDP,92.1,12.5,60673
CA,Cedar Slope CDP,-,-,-
CA,Cedarville CDP,88.8,19.7,28500
CA,Centerville CDP,88.5,22,(X)
CA,Ceres city,67.9,17.9,47858
CA,Cerritos city,91.7,4.8,90321
CA,Chalfant CDP,94.7,9.6,66051
CA,Challenge-Brownsville CDP,95,29.7,35046
CA,Channel Islands Beach CDP,99,2.3,96932
CA,Charter Oak CDP,85.6,11.6,61620
CA,Cherokee CDP,100,0,(X)
CA,Cherokee Strip CDP,64,59.7,28889
CA,Cherryland CDP,74.3,24.8,51071
CA,Cherry Valley CDP,85.2,9.8,58383
CA,Chester CDP,93,13.6,43106
CA,Chico city,92,24.9,42342
CA,Chilcoot-Vinton CDP,67.4,0,-
CA,China Lake Acres CDP,88,48.5,23750
CA,Chinese Camp CDP,66.7,0,(X)
CA,Chino city,77.7,11.6,72872
CA,Chino Hills city,93.2,6.5,96914
CA,Chowchilla city,68.3,32.1,34559
CA,Chualar CDP,45.1,14.1,57679
CA,Chula Vista city,80.9,12.5,65185
CA,Citrus CDP,73.2,13.9,60553
CA,Citrus Heights city,89.9,15.4,50047
CA,Claremont city,93.2,8.2,88523
CA,Clarksburg CDP,88.9,5.1,69083
CA,Clay CDP,89.4,4.7,72500
CA,Clayton city,98.9,4,131563
CA,Clear Creek CDP,84.3,48.8,21771
CA,Clearlake city,79.1,37.5,25404
CA,Clearlake Oaks CDP,84.2,31.4,27552
CA,Clearlake Riviera CDP,85.6,22.1,44637
CA,Cleone CDP,82.2,14.8,40714
CA,Clio CDP,74.5,25.5,(X)
CA,Clipper Mills CDP,50,0,-
CA,Cloverdale city,82.4,6.7,63917
CA,Clovis city,88.9,13.8,62666
CA,Clyde CDP,97.7,24.5,(X)
CA,Coachella city,51.2,31.6,37497
CA,Coalinga city,73,23.2,51860
CA,Coarsegold CDP,88.6,16.4,(X)
CA,Cobb CDP,91.7,17.3,80545
CA,Coffee Creek CDP,89.8,12.7,54500
CA,Cohasset CDP,94.9,11.5,57292
CA,Cold Springs CDP (El Dorado County),97,29,49886
CA,Cold Springs CDP (Tuolumne County),100,0,33929
CA,Coleville CDP,100,0,40278
CA,Colfax city,93.6,11.4,48015
CA,College City CDP,81.4,0,66607
CA,Collierville CDP,82.9,18.9,49375
CA,Colma town,84.6,15.3,77337
CA,Coloma CDP,93.2,6.3,77833
CA,Colton city,70.1,22.1,41565
CA,Columbia CDP,90.3,12.9,39487
CA,Colusa city,73,18.1,47607
CA,Commerce city,55,16,45341
CA,Comptche CDP,100,0,(X)
CA,Compton city,60.1,26.6,43507
CA,Concord city,87.1,13.3,68318
CA,Concow CDP,92.7,22.4,38319
CA,Contra Costa Centre CDP,94.9,9.9,91218
CA,Copperopolis CDP,94,9.7,60568
CA,Corcoran city,57.2,38.8,31831
CA,Corning city,75.3,29.6,31667
CA,Corona city,84.8,11.7,74149
CA,Coronado city,98,6,90256
CA,Coronita CDP,82.7,9.1,75842
CA,Corralitos CDP,92.3,2.9,83750
CA,Corte Madera town,97.2,5.7,122868
CA,Costa Mesa city,84.7,14.5,66459
CA,Cotati city,89.3,12.7,61737
CA,Coto de Caza CDP,98.5,3.6,162589
CA,Cottonwood CDP,79,34.4,39085
CA,Coulterville CDP,100,0,(X)
CA,Country Club CDP,78.2,15.6,44106
CA,Courtland CDP,78.9,27,(X)
CA,Covelo CDP,88.2,40.7,30458
CA,Covina city,86,10.9,64813
CA,Cowan CDP,70.5,45.7,33438
CA,Crescent City city,66.1,28.7,27622
CA,Crescent Mills CDP,86.3,5,(X)
CA,Cressey CDP,76.5,26.3,50625
CA,Crest CDP,93,8.1,68816
CA,Crestline CDP,94,16.6,49668
CA,Creston CDP,100,0,-
CA,C-Road CDP,100,0,(X)
CA,Crockett CDP,94.7,9.7,77250
CA,Cromberg CDP,91.7,20.5,25417
CA,Crowley Lake CDP,92.1,10.4,89097
CA,Crows Landing CDP,66.7,20.8,30000
CA,Cudahy city,42.9,31.3,36429
CA,Culver City city,92.2,8.9,81189
CA,Cupertino city,96.7,3.7,141953
CA,Cutler CDP,40.1,53,29718
CA,Cutten CDP,98.4,11.8,52798
CA,Cuyama CDP,42.2,62.6,27159
CA,Cypress city,92,7.3,81738
CA,Daly City city,85.4,9.7,74449
CA,Dana Point city,95,9.2,84411
CA,Danville town,97.9,4.1,140809
CA,Daphnedale Park CDP,100,0,-
CA,Darwin CDP,100,0,-
CA,Davenport CDP,73.7,6.1,60625
CA,Davis city,96.1,28.8,56463
CA,Day Valley CDP,88.8,16.9,75313
CA,Deer Park CDP,95.1,13.6,96058
CA,Del Aire CDP,80.9,13.2,74573
CA,Delano city,55,30.3,35933
CA,Delft Colony CDP,80.6,100,6917
CA,Delhi CDP,55.5,17.3,49716
CA,Delleker CDP,77.8,1.9,(X)
CA,Del Mar city,98.8,3.5,107013
CA,Del Monte Forest CDP,98.6,9.8,98646
CA,Del Rey CDP,35.2,52.7,23616
CA,Del Rey Oaks city,94.8,7.1,86250
CA,Del Rio CDP,96.8,0,103966
CA,Denair CDP,71.3,31.3,58802
CA,Derby Acres CDP,74.3,27.5,36563
CA,Descanso CDP,91.5,10.6,68750
CA,Desert Center CDP,83.2,31.5,55139
CA,Desert Edge CDP,79.6,25.3,31261
CA,Desert Hot Springs city,67.7,34.9,33027
CA,Desert Palms CDP,98.4,8.3,56766
CA,Desert Shores CDP,38.8,28.5,29625
CA,Desert View Highlands CDP,81.4,13.3,45268
CA,Diablo CDP,100,0,199926
CA,Diablo Grande CDP,88.3,2,93839
CA,Diamond Bar city,92.1,7,89221
CA,Diamond Springs CDP,87.1,16.3,53079
CA,Dillon Beach CDP,100,0,45139
CA,Dinuba city,58.6,28.6,36860
CA,Discovery Bay CDP,96.3,5.9,106529
CA,Dixon city,78.1,13.9,72188
CA,Dixon Lane-Meadow Creek CDP,86.6,7.6,47440
CA,Dobbins CDP,90.9,23.9,(X)
CA,Dogtown CDP,85.5,7.5,73333
CA,Dollar Point CDP,93.9,14.1,68967
CA,Dorrington CDP,91.7,2.8,(X)
CA,Dorris city,78.3,32.3,28977
CA,Dos Palos city,63,37.4,33608
CA,Dos Palos Y CDP,50.7,35.3,19219
CA,Douglas City CDP,94.1,40.8,31776
CA,Downey city,76.1,11.4,62897
CA,Downieville CDP,100,0,(X)
CA,Doyle CDP,92.2,23.2,20926
CA,Drytown CDP,35.8,4.1,108333
CA,Duarte city,82.2,15.5,62089
CA,Dublin city,92,4,118773
CA,Ducor CDP,46.6,43.7,29313
CA,Dunnigan CDP,75.8,27.1,47898
CA,Dunsmuir city,88.3,24.5,24770
CA,Durham CDP,97.5,17.2,70374
CA,Dustin Acres CDP,76.7,10.3,59423
CA,Dutch Flat CDP,100,0,53512
CA,Eagleville CDP,73.4,35.1,(X)
CA,Earlimart CDP,35.2,53.1,23803
CA,East Foothills CDP,91.6,6.6,125037
CA,East Hemet CDP,81.2,19.5,48513
CA,East Los Angeles CDP,46.7,27.2,38766
CA,East Nicolaus CDP,84.8,14.6,27292
CA,East Oakdale CDP,97.6,3.7,102462
CA,Easton CDP,73.1,12.6,54345
CA,East Orosi CDP,37.2,61.4,34896
CA,East Palo Alto city,65.8,18.5,52012
CA,East Pasadena CDP,89.9,12.2,76523
CA,East Porterville CDP,45.5,36.2,32162
CA,East Quincy CDP,92.2,21.2,47346
CA,East Rancho Dominguez CDP,52.7,23.8,44127
CA,East Richmond Heights CDP,95.2,10.6,65438
CA,East San Gabriel CDP,87.4,11.1,65833
CA,East Shore CDP,56.5,0,60625
CA,East Sonora CDP,89.9,11.6,40640
CA,East Tulare Villa CDP,68.7,23.9,50163
CA,Eastvale city,87.7,5.9,110927
CA,East Whittier CDP,87.7,8.7,69006
CA,Edgewood CDP,100,0,(X)
CA,Edmundson Acres CDP,60.7,42,38750
CA,Edna CDP,100,0,75486
CA,Edwards AFB CDP,99.2,10,59554
CA,El Cajon city,80.4,24.2,45925
CA,El Centro city,69.4,25.2,40517
CA,El Cerrito city,93.8,9,88737
CA,El Cerrito CDP,76.6,6.6,60625
CA,El Dorado Hills CDP,96.9,4.7,119452
CA,Eldridge CDP,91.4,25.5,54506
CA,El Granada CDP,92.5,3.9,110434
CA,Elizabeth Lake CDP,94.9,7.2,56071
CA,Elk Creek CDP,69.6,9.9,38750
CA,Elk Grove city,90.5,10.4,79487
CA,Elkhorn CDP,81.8,16.2,90179
CA,Elmira CDP,82.4,6.4,70298
CA,El Monte city,57.8,24.9,38085
CA,El Nido CDP,45,21,32344
CA,El Paso de Robles city (Paso Robles),83.8,13.8,60449
CA,El Portal CDP,100,26.1,100964
CA,El Rancho CDP,62,8.2,-
CA,El Rio CDP,59.7,19.2,62361
CA,El Segundo city,95.6,7.3,85727
CA,El Sobrante CDP (Contra Costa County),91,12.6,61538
CA,El Sobrante CDP (Riverside County),95.4,8,99361
CA,El Verano CDP,79.8,6.1,57823
CA,Elverta CDP,84.7,7.6,60096
CA,Emerald Lake Hills CDP,98.5,2.7,164643
CA,Emeryville city,96.9,11.9,77806
CA,Empire CDP,64.1,41.8,32071
CA,Encinitas city,94.4,8.1,95149
CA,Escalon city,88.3,15,52125
CA,Escondido city,73.6,18.7,50899
CA,Esparto CDP,80.7,10.4,66118
CA,Etna city,90.8,24.4,30688
CA,Eucalyptus Hills CDP,93.5,2.7,80234
CA,Eureka city,86.5,24.5,37094
CA,Exeter city,77.8,29.1,41309
CA,Fairbanks Ranch CDP,94.7,3.9,132740
CA,Fairfax town,97.4,6.8,91607
CA,Fairfield city,85.6,13.2,67364
CA,Fairhaven CDP,83.2,21.6,53750
CA,Fairmead CDP,60.9,47.3,31641
CA,Fair Oaks CDP,94.3,11.9,73115
CA,Fairview CDP,92.3,7.6,96678
CA,Fallbrook CDP,79.9,19,52083
CA,Fall River Mills CDP,84.8,20.1,31367
CA,Farmersville city,54,31.2,33548
CA,Farmington CDP,100,0,(X)
CA,Fellows CDP,96.2,2.5,75625
CA,Felton CDP,95.5,2.6,71763
CA,Ferndale city,93.8,9.5,43548
CA,Fetters Hot Springs-Agua Caliente CDP,64.9,28,57662
CA,Fiddletown CDP,84.3,15.7,50750
CA,Fieldbrook CDP,94.9,23.2,64750
CA,Fields Landing CDP,85.7,26.6,(X)
CA,Fillmore city,64.2,24.2,56239
CA,Firebaugh city,41.6,33.5,39150
CA,Fish Camp CDP,100,0,23578
CA,Florence-Graham CDP,41.5,32.8,33934
CA,Florin CDP,71.4,26.5,39998
CA,Floriston CDP,100,0,(X)
CA,Flournoy CDP,83.9,40.3,55625
CA,Folsom city,92.4,4.7,100978
CA,Fontana city,72.5,16.1,64824
CA,Foothill Farms CDP,85.4,24.3,44512
CA,Forbestown CDP,85.1,0,(X)
CA,Ford City CDP,66.4,40.9,31112
CA,Foresthill CDP,83,31.9,24755
CA,Forest Meadows CDP,91.1,2.6,59306
CA,Forest Ranch CDP,93.4,10.8,48255
CA,Forestville CDP,94.4,14.7,53112
CA,Fort Bidwell CDP,66.9,37.1,25500
CA,Fort Bragg city,85.2,22.3,33867
CA,Fort Dick CDP,97.4,4,57212
CA,Fort Irwin CDP,99.2,10.4,50136
CA,Fort Jones city,89.1,35.1,36136
CA,Fortuna city,86.7,16.8,44077
CA,Fort Washington CDP,100,0,67221
CA,Foster City city,96,4.2,123039
CA,Fountain Valley city,90.2,8.1,82367
CA,Fowler city,68.9,25.3,44539
CA,Franklin CDP (Merced County),56.3,34.2,40160
CA,Franklin CDP (Sacramento County),78.2,16.5,24135
CA,Frazier Park CDP,90.9,20.8,36156
CA,Freedom CDP,59.9,34.3,46333
CA,Freeport CDP,81.1,0,(X)
CA,Fremont city,92.3,6.1,105355
CA,French Camp CDP,58.8,30.2,35313
CA,French Gulch CDP,92.5,26.4,28047
CA,French Valley CDP,90.7,4.8,91046
CA,Fresno city,75.2,29.8,41531
CA,Friant CDP,77,14.3,21375
CA,Fruitdale CDP,87,6.6,77583
CA,Fruitridge Pocket CDP,56.7,47.7,27536
CA,Fuller Acres CDP,41.7,29.8,33365
CA,Fullerton city,86.6,16.8,65974
CA,Fulton CDP,72.8,40.8,(X)
CA,Furnace Creek CDP,81.3,6.4,32250
CA,Galt city,83.1,19.4,63065
CA,Garberville CDP,82.9,16.6,33239
CA,Gardena city,81.8,15,47674
CA,Garden Acres CDP,50.9,22.6,39375
CA,Garden Farms CDP,92.8,34.3,76488
CA,Garden Grove city,73.7,17.6,58449
CA,Garey CDP,18.8,11.2,(X)
CA,Garnet CDP,73,22.8,37134
CA,Gasquet CDP,100,30.9,36442
CA,Gazelle CDP,61.5,30.4,30556
CA,Georgetown CDP,87.8,13.5,44241
CA,Gerber CDP,59.8,25.9,47917
CA,Geyserville CDP,71.4,15,50962
CA,Gilroy city,77,15.1,83027
CA,Glendale city,84.4,14.6,52574
CA,Glendora city,90.2,9.4,75148
CA,Glen Ellen CDP,94.9,7.9,56188
CA,Golden Hills CDP,91.6,10.5,64243
CA,Gold Mountain CDP,100,0,-
CA,Gold River CDP,96.4,4.5,107721
CA,Goleta city,89.5,8.6,80438
CA,Gonzales city,53.9,23,48865
CA,Good Hope CDP,57.2,38.1,35688
CA,Goodyears Bar CDP,100,44,-
CA,Goshen CDP,48.2,29.6,35972
CA,Graeagle CDP,92.6,2.2,63261
CA,Grand Terrace city,89.3,9.9,63871
CA,Grangeville CDP,83.7,8,75313
CA,Granite Bay CDP,97.6,3.2,112718
CA,Granite Hills CDP,97.7,5.4,110787
CA,Graniteville CDP,-,-,-
CA,Grass Valley city,88.7,28.4,33700
CA,Graton CDP,81.5,8,55227
CA,Grayson CDP,68.8,20.6,27188
CA,Greeley Hill CDP,76.4,21.1,32500
CA,Greenacres CDP,89.8,10.5,57780
CA,Green Acres CDP,60.6,40.5,40583
CA,Greenfield CDP,65.2,12,45393
CA,Greenfield city,50.6,25.1,49263
CA,Greenhorn CDP,92.9,12.2,50855
CA,Green Valley CDP (Los Angeles County),93.8,8,78792
CA,Green Valley CDP (Solano County),97.1,1,66750
CA,Greenview CDP,89.7,60.2,30326
CA,Greenville CDP,82.3,17.6,26481
CA,Grenada CDP,86.3,21.7,41806
CA,Gridley city,69.2,21.6,35455
CA,Grimes CDP,66.7,24.8,41094
CA,Grizzly Flats CDP,92.9,4.9,49415
CA,Groveland CDP,76.3,30.6,(X)
CA,Grover Beach city,85.9,13.8,54228
CA,Guadalupe city,56.3,18.9,43710
CA,Guerneville CDP,93.9,18.2,44127
CA,Guinda CDP,75.7,13.2,(X)
CA,Gustine city,63.6,15.6,38125
CA,Hacienda Heights CDP,85.8,7.9,78039
CA,Half Moon Bay city,83.8,3.7,103255
CA,Hamilton Branch CDP,95.2,10.1,53250
CA,Hamilton City CDP,50.1,22,33257
CA,Hanford city,80.8,20.5,53986
CA,Happy Camp CDP,81.8,31,24861
CA,Harbison Canyon CDP,90.5,10.2,79167
CA,Hardwick CDP,51.7,46.9,(X)
CA,Hartland CDP,-,-,-
CA,Hartley CDP,90.8,1.8,94375
CA,Hasley Canyon CDP,86.6,12.1,113533
CA,Hat Creek CDP,58.1,21.9,36042
CA,Hawaiian Gardens city,58.8,30.7,37571
CA,Hawthorne city,73.8,20.1,44504
CA,Hayfork CDP,90.2,24.6,23819
CA,Hayward city,80.1,13.4,65096
CA,Healdsburg city,87.5,7.4,65638
CA,Heber CDP,55.2,13.3,37156
CA,Hemet city,79.5,26,33989
CA,Herald CDP,89.3,15.4,111058
CA,Hercules city,93.3,5.1,101018
CA,Herlong CDP,63.2,11.7,48214
CA,Hermosa Beach city,99,4,111187
CA,Hesperia city,77.2,24.8,44874
CA,Hickman CDP,78.3,13.3,54375
CA,Hidden Hills city,96.5,4.9,241667
CA,Hidden Meadows CDP,96.2,9.2,81417
CA,Hidden Valley Lake CDP,91.9,11,66682
CA,Highgrove CDP,69,31.9,43021
CA,Highland city,75,20.7,53851
CA,Highlands-Baywood Park CDP,96.2,4.7,145921
CA,Hillsborough town,97.6,2.4,229097
CA,Hilmar-Irwin CDP,70.6,2.6,54878
CA,Hiouchi CDP,89,5.5,45750
CA,Hollister city,72.6,11.3,69157
CA,Holtville city,57.1,37.3,24974
CA,Home Garden CDP,54.6,32.2,32411
CA,Home Gardens CDP,61.7,25.9,53480
CA,Homeland CDP,61,26.6,33457
CA,Homestead Valley CDP,81.3,35.2,29682
CA,Homewood Canyon CDP,100,100,-
CA,Honcut CDP,91.9,42.8,(X)
CA,Hood CDP,80.6,3.4,76429
CA,Hoopa CDP,83.9,35.9,29483
CA,Hopland CDP,84.5,20.6,40227
CA,Hornbrook CDP,79.6,34.9,30893
CA,Hornitos CDP,100,0,-
CA,Hughson city,78.1,24.3,52036
CA,Humboldt Hill CDP,87.5,7.4,48704
CA,Huntington Beach city,92.4,9.4,83252
CA,Huntington Park city,41.4,29.6,34887
CA,Huron city,27,35.8,27049
CA,Hyampom CDP,82.1,0,(X)
CA,Hydesville CDP,96.1,12.6,58304
CA,Idlewild CDP,100,0,-
CA,Idyllwild-Pine Cove CDP,96.6,19.5,61162
CA,Imperial city,86.2,8.7,80082
CA,Imperial Beach city,79.5,18.9,46659
CA,Independence CDP,91.9,14.5,48529
CA,Indian Falls CDP,100,38.3,20542
CA,Indianola CDP,85.9,29,36875
CA,Indian Wells city,94.4,4.6,93625
CA,Indio city,73.7,19.5,50525
CA,Indio Hills CDP,64.9,15.8,44006
CA,Industry city,90.7,2.4,51835
CA,Inglewood city,72.5,22.4,42044
CA,Interlaken CDP,64.7,12.4,64938
CA,Inverness CDP,96.1,10.8,52135
CA,Inyokern CDP,94.5,1.9,67994
CA,Ione city,88.5,13.7,50231
CA,Iron Horse CDP,82.7,0,69464
CA,Irvine city,96.3,12.3,92278
CA,Irwindale city,72.7,12.5,50341
CA,Isla Vista CDP,82.6,68,20550
CA,Isleton city,76.7,31.5,34833
CA,Ivanhoe CDP,42.5,36.3,29063
CA,Jackson city,92.3,14.3,43689
CA,Jacumba CDP,62.5,0,26034
CA,Jamestown CDP,93.9,19.6,35268
CA,Jamul CDP,93.6,5.4,111055
CA,Janesville CDP,92.4,6,73611
CA,Jenner CDP,92.3,23.1,82250
CA,Johannesburg CDP,100,0,-
CA,Johnstonville CDP,97.3,18.9,70197
CA,Johnsville CDP,100,0,-
CA,Joshua Tree CDP,88.6,24,36870
CA,Julian CDP,85.6,14,68929
CA,Junction City CDP,89.3,14.4,43500
CA,June Lake CDP,92,0,51434
CA,Jurupa Valley city,67.8,17,57749
CA,Keddie CDP,100,0,83750
CA,Keeler CDP,100,13.4,(X)
CA,Keene CDP,100,32.5,65893
CA,Kelly Ridge CDP,91.9,11.4,38253
CA,Kelseyville CDP,73.6,27,36713
CA,Kennedy CDP,48.9,23.7,38088
CA,Kennedy Meadows CDP,100,0,-
CA,Kensington CDP,99.2,7.1,146378
CA,Kentfield CDP,98.8,5.1,167708
CA,Kenwood CDP,89.4,1.1,79102
CA,Kerman city,55.6,25.6,41820
CA,Kernville CDP,96.2,10.5,49767
CA,Keswick CDP,74.8,9.5,26467
CA,Kettleman City CDP,28.8,27.6,34286
CA,Keyes CDP,68.5,31.1,42735
CA,King City city,40.3,23.9,40238
CA,Kings Beach CDP,79.7,16.6,39841
CA,Kingsburg city,87,17.9,57723
CA,Kingvale CDP,100,31,-
CA,Kirkwood CDP,100,53.3,(X)
CA,Klamath CDP,84.2,28.9,31719
CA,Knightsen CDP,90.7,12.1,79531
CA,Knights Landing CDP,62.1,18.2,42813
CA,La Ca_ada Flintridge city,97.6,2.5,156883
CA,La Crescenta-Montrose CDP,95.4,7.5,85458
CA,Ladera CDP,100,1.2,"250,000+"
CA,Ladera Heights CDP,97.2,6.8,102281
CA,Ladera Ranch CDP,97,2.1,134435
CA,Lafayette city,98.3,4.9,137895
CA,Laguna Beach city,97.5,6.7,98366
CA,Laguna Hills city,91.5,8.5,89754
CA,Laguna Niguel city,95.5,6.6,95536
CA,Laguna Woods city,95.7,10.3,38674
CA,Lagunitas-Forest Knolls CDP,100,2.7,73616
CA,La Habra city,81.5,13.2,63037
CA,La Habra Heights city,95.5,3.4,111382
CA,La Honda CDP,96.5,10.7,73688
CA,Lake Almanor Country Club CDP,98.8,2.2,76667
CA,Lake Almanor Peninsula CDP,95.8,5.8,67250
CA,Lake Almanor West CDP,100,9.6,(X)
CA,Lake Arrowhead CDP,88.7,16.2,62050
CA,Lake California CDP,91,8.7,51200
CA,Lake City CDP,100,87,"2,500-"
CA,Lake Davis CDP,50,0,-
CA,Lake Don Pedro CDP,88.4,3.8,68929
CA,Lake Elsinore city,76.9,14.6,61248
CA,Lake Forest city,91.9,7.4,91254
CA,Lakehead CDP,93.5,33.3,30357
CA,Lake Hughes CDP,92.9,49.1,(X)
CA,Lake Isabella CDP,85.4,39.2,23795
CA,Lakeland Village CDP,75.3,25.6,39581
CA,Lake Los Angeles CDP,75.2,30.1,40240
CA,Lake Mathews CDP,84.4,12.8,68140
CA,Lake Nacimiento CDP,95.2,3.1,71641
CA,Lake of the Pines CDP,96.8,3.3,75274
CA,Lake of the Woods CDP,87.6,15,44500
CA,Lakeport city,90.4,17.7,39605
CA,Lake Riverside CDP,94.6,7.2,70750
CA,Lake San Marcos CDP,96.7,18.3,46510
CA,Lake Sherwood CDP,98.7,4.8,189744
CA,Lakeside CDP,91.7,11.6,62894
CA,Lakeview CDP,71.8,22,53191
CA,Lake Wildwood CDP,95.5,4.7,63271
CA,Lakewood city,87.9,7.9,79193
CA,La Mesa city,91,12.4,54667
CA,La Mirada city,88.8,7.5,79330
CA,Lamont CDP,42.2,37.4,33351
CA,Lanare CDP,57.6,62.5,(X)
CA,Lancaster city,81.4,23.5,47225
CA,La Palma city,92.9,7.3,82304
CA,La Porte CDP,-,-,-
CA,La Presa CDP,80.7,13.7,60251
CA,La Puente city,60.5,14.5,56512
CA,La Quinta city,89.6,9.6,71091
CA,La Riviera CDP,93.2,21,57138
CA,Larkfield-Wikiup CDP,91.6,9.9,68787
CA,Larkspur city,95.6,4,88829
CA,La Selva Beach CDP,98.3,5.2,106343
CA,Las Flores CDP (Orange County),96.9,3.8,130683
CA,Las Flores CDP (Tehama County),48.1,5.2,29803
CA,Las Lomas CDP,42.3,21.8,63710
CA,Lathrop city,76.9,13.1,62267
CA,Laton CDP,54.5,49.1,27701
CA,La Verne city,91.1,8.2,74631
CA,La Vina CDP,43.6,43,31094
CA,Lawndale city,70,17.8,47540
CA,Laytonville CDP,85.9,34.3,23315
CA,Lebec CDP,82.4,23.3,(X)
CA,Lee Vining CDP,100,0,-
CA,Leggett CDP,100,32.4,(X)
CA,Le Grand CDP,48.3,33.1,39000
CA,Lemon Cove CDP,95,15.8,37500
CA,Lemon Grove city,81.4,15.1,55404
CA,Lemon Hill CDP,63.1,38.9,28465
CA,Lemoore city,84.6,15.6,49623
CA,Lemoore Station CDP,96.8,15.8,41552
CA,Lennox CDP,48.8,32.3,36424
CA,Lenwood CDP,74.1,44.6,37264
CA,Leona Valley CDP,88.9,6.6,79728
CA,Lewiston CDP,89.8,29.4,31250
CA,Lexington Hills CDP,98.9,3.2,140323
CA,Likely CDP,100,0,-
CA,Lincoln city,93,9.1,72399
CA,Lincoln Village CDP,90.3,8.9,55221
CA,Linda CDP,73.1,32.6,36836
CA,Lindcove CDP,48.1,28.9,43571
CA,Linden CDP,95.4,12.3,84239
CA,Lindsay city,48.7,37.9,30789
CA,Linnell Camp CDP,23.8,64.6,19560
CA,Litchfield CDP,85.9,6.6,47625
CA,Little Grass Valley CDP,-,-,-
CA,Little River CDP,83,52.1,(X)
CA,Littlerock CDP,53.1,30.1,39313
CA,Little Valley CDP,36.1,50,13036
CA,Live Oak CDP,87,13.4,68875
CA,Live Oak city,63.7,21.8,42288
CA,Livermore city,91.5,5.7,100992
CA,Livingston city,51.8,20.8,51538
CA,Lockeford CDP,76.3,20.7,44244
CA,Lockwood CDP,94.2,27.1,46538
CA,Lodi city,80.4,17.4,49316
CA,Lodoga CDP,72.5,4.4,42031
CA,Loleta CDP,87.4,23.3,45417
CA,Loma Linda city,90.3,17.6,55895
CA,Loma Mar CDP,51.2,57,(X)
CA,Loma Rica CDP,91.3,9.7,62404
CA,Lomita city,86.8,14.7,57078
CA,Lompico CDP,92.8,8.9,69500
CA,Lompoc city,74.7,21.3,44866
CA,London CDP,33.6,47.2,24491
CA,Lone Pine CDP,75.7,15.6,31321
CA,Long Barn CDP,100,70.6,-
CA,Long Beach city,79.4,20.6,52783
CA,Lookout CDP,92.5,0,(X)
CA,Loomis town,96.4,2.4,89706
CA,Los Alamitos city,91.7,11.2,80033
CA,Los Alamos CDP,77.3,26.5,61115
CA,Los Altos city,98.7,2.6,175938
CA,Los Altos Hills town,98,5.3,226319
CA,Los Angeles city,75.5,22.1,50205
CA,Los Banos city,66.8,26.2,44292
CA,Los Berros CDP,81.2,20,60565
CA,Los Gatos town,97.2,5.6,126122
CA,Los Molinos CDP,68.9,29.2,40347
CA,Los Olivos CDP,95.4,1.3,89605
CA,Los Osos CDP,92.5,9.5,62857
CA,Los Ranchos CDP,98.7,6,92500
CA,Lost Hills CDP,30.7,37.2,31033
CA,Lower Lake CDP,81.6,14.8,30610
CA,Loyalton city,91.1,16.3,40563
CA,Loyola CDP,99.4,1.6,200208
CA,Lucas Valley-Marinwood CDP,95.5,6.8,117071
CA,Lucerne CDP,75.4,39,23059
CA,Lucerne Valley CDP,86.5,22.9,26429
CA,Lynwood city,52.8,25.3,43109
CA,Lytle Creek CDP,90.8,6.4,48646
CA,Mabie CDP,100,0,-
CA,McArthur CDP,100,15.2,43478
CA,McClellan Park CDP,80.5,59.6,16938
CA,McClenney Tract CDP,33.3,33.3,-
CA,McCloud CDP,92.4,21.9,38068
CA,Macdoel CDP,31,15.2,35625
CA,McFarland city,44.4,36.8,34032
CA,McGee Creek CDP,69.1,0,(X)
CA,McKinleyville CDP,90.5,13.9,50286
CA,McKittrick CDP,78.8,6.1,40000
CA,McSwain CDP,83.3,8.1,100156
CA,Madera city,58.2,27.6,40457
CA,Madera Acres CDP,76.9,13.3,61573
CA,Madison CDP,72.1,3.6,55156
CA,Mad River CDP,93.6,29.9,33947
CA,Magalia CDP,89.2,17.9,41289
CA,Malaga CDP,49,31.7,39837
CA,Malibu city,97.7,10.5,119659
CA,Mammoth Lakes town,82.3,3.8,55799
CA,Manchester CDP,79.8,7.1,36250
CA,Manhattan Beach city,97.8,4,143527
CA,Manila CDP,97,14.5,32566
CA,Manteca city,82.5,12.1,62364
CA,Manton CDP,88.5,42.3,31750
CA,March ARB CDP,89.8,22.4,68750
CA,Maricopa city,77.6,36.1,28947
CA,Marina city,83.1,15.3,54193
CA,Marina del Rey CDP,97.2,13,100195
CA,Marin City CDP,82.6,33.4,40321
CA,Mariposa CDP,78,33.3,38472
CA,Markleeville CDP,89.2,10.2,51250
CA,Martell CDP,100,0,(X)
CA,Martinez city,93.3,6.1,87959
CA,Marysville city,81.4,28.6,34566
CA,Matheny CDP,44.7,36.8,30565
CA,Mather CDP,89.7,6.7,79784
CA,Maxwell CDP,73.4,9.7,46944
